N_Instances	Dim	Eps	minPts	mediaPuntosCluster	nClusters	Metric
10000	150	19.945999999999998	1	204.08163265306123	49.0	0.41576889157295227
10000   150 20.267              1   285.7142857142857   35.0    0.42774736881256104
10000   150 20.527              1   322.5806451612903   31.0    0.43384072184562683
10000   150 20.57               1   333.3333333333333   30.0    0.4353276789188385
10000   150 20.695999999999998  1   357.14285714285717  28.0    0.4380594789981842
10000   150 20.782              1   384.61538461538464  26.0    0.4411703646183014
10000   150 21.189              1   555.5555555555555   18.0    0.4561418890953064
10000   150 21.3399             1   588.2352941176471   17.0    0.46205732226371765
10000   150 21.664              1   625.0               16.0    0.46442222595214844
10000   150 21.9                1   833.3333333333334   12.0    0.47433340549468994
10000   150 22.109              1   909.0909090909091   11.0    0.4779917895793915
10000   150 22.27               1   1000.0              10.0    0.4791905879974365
10000   150 22.445              1   1428.5714285714287  7.0     0.4878433644771576
10000   150 23.192              1   2000.0              5.0     0.5066843032836914
10000   150 23.532              1   2500.0              4.0     0.5089823603630066
10000   150 23.729              1   3333.3333333333335  3.0     0.5223605632781982
10000   150 23.661              1   5000.0              2.0     0.5884676575660706
